Ideus code;EAN barcode;Product name;Availability;Photo;Product type;Power supply;Power;Colour;Lampholder type;Dedicated light source;Replacing the light source;Dimmer compatibility;Colour temperature;Light colour;Luminous flux;Luminous beam angle;Ra;Light source lifetime;Power switch;Adjusting the lighting direction;IP;Possibility of outdoor use;Minimum distance from a lit object;Electric shock protection class;CE;Material;Comments;Height;Width;Depth;Mounting hole x;Mounting hole y
00362;5901477303623;KAMOS FLD-362;4;00362.jpg;Fluorescent flood-light;220-240V 50/60Hz;2 x max 24 W;black;E27;compact fluorescent lamp/LED;yes;;0;;;0;;0;no;yes;65;yes;0.5;2;yes;polycarbonate PC;;120;295;230;0;0;
00381;5901477303814;MARAT3 CBS-381;1;00381.jpg;Distribution board with DIN strips;Un 400V~;;white/silver;;;;;0;;;0;;0;;;40;no;0;0;yes;ABS, glass;number of fields 8;190;205;86;170;184;
00554;5901477305542;WAGNER G9 1C (kemer hl715);100;00554.jpg;Wall & ceiling lighting fitting;220-240V 50/60Hz;max 40 W;chrome;G9;G9;yes;;0;;;0;;0;no;yes;20;no;0.5;1;yes;stainless steel, glass;;190;190;100;0;0;
00555;5901477305559;WAGNER G9 2I (kemer hl716);100;00555.jpg;Wall & ceiling lighting fitting;220-240V 50/60Hz;2 x max 40 W;chrome;G9;G9;yes;;0;;;0;;0;no;yes;20;no;0.5;1;yes;stainless steel, glass;;190;345;100;0;0;
00556;5901477305566;WAGNER G9 3I (kemer hl717);100;00556.jpg;Wall & ceiling lighting fitting;220-240V 50/60Hz;3 x max 40 W;chrome;G9;G9;yes;;0;;;0;;0;no;yes;20;no;0.5;1;yes;stainless steel, glass;;190;505;100;0;0;
00557;5901477305573;WAGNER G9 4I (kemer hl718);100;00557.jpg;Wall & ceiling lighting fitting;220-240V 50/60Hz;4 x max 40 W;chrome;G9;G9;yes;;0;;;0;;0;no;yes;20;no;0.5;1;yes;stainless steel, glass;;190;645;100;0;0;
00558;5901477305580;WAGNER G9 3C (kemer hl719);1;00558.jpg;Wall & ceiling lighting fitting;220-240V 50/60Hz;3 x max 40 W;chrome;G9;G9;yes;;0;;;0;;0;no;yes;20;no;0.5;1;yes;stainless steel, glass;;190;240;240;0;0;
00584;5901477305849;BOLERO E14 1C (bodrum hl785n);100;00584.jpg;Wall & ceiling lighting fitting;220-240V 50/60Hz;max 9 W;matt chrome;E14;compact fluorescent lamp/LED;yes;;0;;;0;;0;no;yes;20;no;0.5;1;yes;stainless steel, glass;;180;105;105;0;0;
00586;5901477305863;BOLERO E14 2I (bodrum hl786n);100;00586.jpg;Wall & ceiling lighting fitting;220-240V 50/60Hz;2 x max 9 W;matt chrome;E14;compact fluorescent lamp/LED;yes;;0;;;0;;0;no;yes;20;no;0.5;1;yes;stainless steel, glass;;180;255;105;0;0;
00588;5901477305887;BOLERO E14 3I (bodrum hl787n);0;00588.jpg;Wall & ceiling lighting fitting;220-240V 50/60Hz;3 x max 9 W;matt chrome;E14;compact fluorescent lamp/LED;yes;;0;;;0;;0;no;yes;20;no;0.5;1;yes;stainless steel, glass;;180;455;105;0;0;
00590;5901477305900;BOLERO E14 4I (bodrum hl788n);3;00590.jpg;Wall & ceiling lighting fitting;220-240V 50/60Hz;4 x max 9 W;matt chrome;E14;compact fluorescent lamp/LED;yes;;0;;;0;;0;no;yes;20;no;0.5;1;yes;stainless steel, glass;;180;670;105;0;0;
00592;5901477305924;PANTERKA E14 1D (manavgat hl790n);60;00592.jpg;Wall & ceiling lighting fitting;220-240V 50/60Hz;max 9 W;chrome;E14;compact fluorescent lamp/LED;yes;;0;;;0;;0;no;yes;20;no;0.5;1;yes;stainless steel, glass;;190;120;80;0;0;
00594;5901477305948;PANTERKA E14 2I (manavgat hl791n);100;00594.jpg;Wall & ceiling lighting fitting;220-240V 50/60Hz;2 x max 9 W;chrome;E14;compact fluorescent lamp/LED;yes;;0;;;0;;0;no;yes;20;no;0.5;1;yes;stainless steel, glass;;190;300;80;0;0;
