Ideus code;EAN barcode;Product name;Availability;Photo;Product type;Power supply;Power;Colour;Lampholder type;Dedicated light source;Replacing the light source;Dimmer compatibility;Colour temperature;Light colour;Luminous flux;Luminous beam angle;Ra;Light source lifetime;Power switch;Adjusting the lighting direction;IP;Possibility of outdoor use;Minimum distance from a lit object;Electric shock protection class;CE;Material;Comments;Height;Width;Depth;Mounting hole x;Mounting hole y
02927;5901477329272;HERMAN LED 36W;100;02927.jpg;Dustproof lighting fitting for LED tubes;220-240V 50/60Hz;max 36 W;grey;G13;T8 LED power supply from one side;yes;;0;;;0;;0;no;no;65;yes;0.5;1;yes;polystyrene PS, ABS;quick montage handles, gland included;90;1263;68;0;0;
02928;5901477329289;HERMAN LED 2x18W;100;02928.jpg;Dustproof lighting fitting for LED tubes;220-240V 50/60Hz;2 x max 18 W;grey;G13;T8 LED power supply from one side;yes;;0;;;0;;0;no;no;65;yes;0.5;1;yes;polystyrene PS, ABS;quick montage handles, gland included;90;655;108;0;0;
02929;5901477329296;HERMAN LED 2x36W;100;02929.jpg;Dustproof lighting fitting for LED tubes;220-240V 50/60Hz;2 x max 36 W;grey;G13;T8 LED power supply from one side;yes;;0;;;0;;0;no;no;65;yes;0.5;1;yes;polystyrene PS, ABS;quick montage handles, gland included;90;1263;108;0;0;
02931;5901477329319;T8 LED 9W NW 0,6;0;02931.jpg;T8 SMD LED tube;230V 50Hz;9 W;;G13;;;no;4000;neutral white;840 lm;320;>80;20000;;;0;;0;0;yes;glass, plastic;single-end power supply;26;600;26;0;0;
02932;5901477329326;T8 LED 18W NW 1,2;13;02932.jpg;T8 SMD LED tube;230V 50Hz;18 W;;G13;;;no;4000;neutral white;1850 lm;320;>80;20000;;;0;;0;0;yes;glass, plastic;single-end power supply;26;1200;26;0;0;
02987;5901477329876;KRISTIN G9 2L;27;02987.jpg;Wall & ceiling lighting fitting;230V 50Hz;2 x max 40 W;chrome/white;G9;G9, in set;yes;;0;;2 x 590 lm;180;100;2000;no;yes;20;no;0.5;1;yes;stainless steel, glass;;92;240;80;0;0;
02988;5901477329883;KRISTIN G9 3L;100;02988.jpg;Wall & ceiling lighting fitting;230V 50Hz;3 x max 40 W;chrome/white;G9;G9, in set;yes;;0;;3 x 590 lm;180;100;2000;no;yes;20;no;0.5;1;yes;stainless steel, glass;;92;430;80;0;0;
02989;5901477329890;KRISTIN G9 4D;98;02989.jpg;Wall & ceiling lighting fitting;230V 50Hz;4 x max 40 W;chrome/white;G9;G9, in set;yes;;0;;4 x 590 lm;180;100;2000;no;yes;20;no;0.5;1;yes;stainless steel, glass;;92;250;250;0;0;
03011;5901477330117;FOREST GU10 C;100;03011.jpg;Hermetic fixture;220-240V 50/60Hz;max 35 W;black;GU10;LED;yes;;0;;;0;;0;no;no;54;yes;0.5;1;yes;aluminium alloy cast, glass;;80;70;90;0;0;
03012;5901477330124;FOREST 2xGU10 C;100;03012.jpg;Hermetic fixture;220-240V 50/60Hz;2 x max 35 W;black;GU10;LED;yes;;0;;;0;;0;no;no;54;yes;0.5;1;yes;aluminium alloy cast, glass;;150;70;90;0;0;
03013;5901477330131;FOREST GU10 D;100;03013.jpg;Hermetic fixture;220-240V 50/60Hz;max 35 W;black;GU10;LED;yes;;0;;;0;;0;no;no;54;yes;0.5;1;yes;aluminium alloy cast, glass;;80;70;90;0;0;
03014;5901477330148;FOREST 2xGU10 D;100;03014.jpg;Hermetic fixture;220-240V 50/60Hz;2 x max 35 W;black;GU10;LED;yes;;0;;;0;;0;no;no;54;yes;0.5;1;yes;aluminium alloy cast, glass;;150;70;90;0;0;
03015;5901477330155;ASTER GU10 INOX;100;03015.jpg;Hermetic fixture;220-240V 50/60Hz;max 35 W;matt chrome;GU10;LED;yes;;0;;;0;;0;no;no;54;yes;0.5;1;yes;stainless steel, glass;;118;76;105;0;0;
03016;5901477330162;ASTER 2xGU10 INOX;100;03016.jpg;Hermetic fixture;220-240V 50/60Hz;2 x max 35 W;matt chrome;GU10;LED;yes;;0;;;0;;0;no;no;54;yes;0.5;1;yes;stainless steel, glass;;210;76;105;0;0;
03017;5901477330179;KELER GU10 INOX;100;03017.jpg;Hermetic fixture;220-240V 50/60Hz;max 35 W;matt chrome;GU10;LED;yes;;0;;;0;;0;no;no;54;yes;0.5;1;yes;stainless steel, polycarbonate PC;;150;80;80;0;0;
03018;5901477330186;KELER 2xGU10 INOX;100;03018.jpg;Hermetic fixture;220-240V 50/60Hz;2 x max 35 W;matt chrome;GU10;LED;yes;;0;;;0;;0;no;no;54;yes;0.5;1;yes;stainless steel, polycarbonate PC;;250;80;80;0;0;
03019;5901477330193;GRETA E27 DARK GREY;100;03019.jpg;Hermetic fixture;220-240V 50/60Hz;max 40 W;dark grey;E27;compact fluorescent lamp/LED;yes;;0;;;0;;0;no;no;54;yes;0.5;1;yes;aluminium alloy cast, polycarbonate PC;;115;250;120;0;0;
03022;5901477330223;LATE LED 3m 180 WW;100;03022.jpg;LED strip;DC 12 V;14,4 W;white;;180 SMD LED 28x35, in set;no;no;3000;warm white;1725 lm;140;>80;25000;;no;20;no;0.5;3;yes;FR-4;decorative product, 60 SMD LED per 1m, 3m per roll, can be cut every 3 LEDs at cutting marks;2;3000;8;0;0;
03023;5901477330230;LATE LED 3m 180 CW;100;03023.jpg;LED strip;DC 12 V;14,4 W;white;;180 SMD LED 28x35, in set;no;no;6500;cold white;1755 lm;140;>80;25000;;no;20;no;0.5;3;yes;FR-4;decorative product, 60 SMD LED per 1m, 3m per roll, can be cut every 3 LEDs at cutting marks;2;3000;8;0;0;
03024;5901477330247;LATE LED 3m 180 WW IP65;100;03024.jpg;LED strip;DC 12 V;14,4 W;white;;180 SMD LED 28x35, in set;no;no;3000;warm white;1725 lm;140;>80;25000;;no;65;no;0.5;3;yes;FR-4;decorative product, 60 SMD LED per 1m, 3m per roll, can be cut every 3 LEDs at cutting marks;2;3000;8;0;0;
03025;5901477330254;LATE LED 3m 180 CW IP65;100;03025.jpg;LED strip;DC 12 V;14,4 W;white;;180 SMD LED 28x35, in set;no;no;6500;cold white;1755 lm;140;>80;25000;;no;65;no;0.5;3;yes;FR-4;decorative product, 60 SMD LED per 1m, 3m per roll, can be cut every 3 LEDs at cutting marks;2;3000;8;0;0;
03026;5901477330261;LATE LED 5m 300 WW;100;03026.jpg;LED strip;DC 12 V;24 W;white;;300 SMD LED 28x35, in set;no;no;3000;warm white;2875 lm;140;>80;25000;;no;20;no;0.5;3;yes;FR-4;decorative product, 60 SMD LED per 1m, 5m per roll, can be cut every 3 LEDs at cutting marks;2;5000;8;0;0;
03027;5901477330278;LATE LED 5m 300 CW;100;03027.jpg;LED strip;DC 12 V;24 W;white;;300 SMD LED 28x35, in set;no;no;6500;cold white;2925 lm;140;>80;25000;;no;20;no;0.5;3;yes;FR-4;decorative product, 60 SMD LED per 1m, 5m per roll, can be cut every 3 LEDs at cutting marks;2;5000;8;0;0;
03028;5901477330285;LATE LED 5m 300 WW IP65;100;03028.jpg;LED strip;DC 12 V;24 W;white;;300 SMD LED 28x35, in set;no;no;3000;warm white;2875 lm;140;>80;25000;;no;65;no;0.5;3;yes;FR-4;decorative product, 60 SMD LED per 1m, 5m per roll, can be cut every 3 LEDs at cutting marks;2;5000;8;0;0;
03029;5901477330292;LATE LED 5m 300 CW IP65;100;03029.jpg;LED strip;DC 12 V;24 W;white;;300 SMD LED 28x35, in set;no;no;6500;cold white;2925 lm;140;>80;25000;;no;65;no;0.5;3;yes;FR-4;decorative product, 60 SMD LED per 1m, 5m per roll, can be cut every 3 LEDs at cutting marks;2;5000;8;0;0;
03030;5901477330308;LATE LED 3m 90 RGB BLISTER;100;03030.jpg;LED strip;230V 50Hz;21,6 W;white;;90 SMD LED 50x50, in set;no;tak, ściemniacz w komplecie;0;multicolour;1000 lm;140;;25000;yes;no;20;no;0.5;2;yes;FR-4;decorative product, 30 SMD LED per 1m, 3m per roll, can be cut every 3 LEDs at cutting marks, remote controller included;2;3000;10;0;0;
03031;5901477330315;LATE LED 3m 90 RGB IP65 BLISTER;100;03031.jpg;LED strip;230V 50Hz;21,6 W;white;;90 SMD LED 50x50, in set;no;tak, ściemniacz w komplecie;0;multicolour;1000 lm;140;;25000;yes;no;65;no;0.5;2;yes;FR-4;decorative product, 30 SMD LED per 1m, 3m per roll, can be cut every 3 LEDs at cutting marks, remote controller included;2;3000;10;0;0;
03032;5901477330322;LATE LED 3m 180 WW BLISTER;100;03032.jpg;LED strip;230V 50Hz;14,4 W;white;;180 SMD LED 28x35, in set;no;no;3000;warm white;1725 lm;140;>80;25000;no;no;20;no;0.5;2;yes;FR-4;decorative product, 60 SMD LED per 1m, 3m per roll, can be cut every 3 LEDs at cutting marks;2;3000;8;0;0;
03033;5901477330339;LATE LED 3m 180 CW BLISTER;100;03033.jpg;LED strip;230V 50Hz;14,4 W;white;;180 SMD LED 28x35, in set;no;no;6500;cold white;1755 lm;140;>80;25000;no;no;20;no;0.5;2;yes;FR-4;decorative product, 60 SMD LED per 1m, 3m per roll, can be cut every 3 LEDs at cutting marks;2;3000;8;0;0;
03034;5901477330346;LATE LED 3m 180 WW IP65 BLISTER;100;03034.jpg;LED strip;230V 50Hz;14,4 W;white;;180 SMD LED 28x35, in set;no;no;3000;warm white;1725 lm;140;>80;25000;no;no;65;no;0.5;2;yes;FR-4;decorative product, 60 SMD LED per 1m, 3m per roll, can be cut every 3 LEDs at cutting marks;2;3000;8;0;0;
03035;5901477330353;LATE LED 3m 180 CW IP65 BLISTER;100;03035.jpg;LED strip;230V 50Hz;14,4 W;white;;180 SMD LED 28x35, in set;no;no;6500;cold white;1755 lm;140;>80;25000;no;no;65;no;0.5;2;yes;FR-4;decorative product, 60 SMD LED per 1m, 3m per roll, can be cut every 3 LEDs at cutting marks;2;3000;8;0;0;
03036;5901477330360;LATE LED 5m 150 RGB BLISTER;100;03036.jpg;LED strip;230V 50Hz;36 W;white;;150 SMD LED 50x50, in set;no;tak, ściemniacz w komplecie;0;multicolour;1650 lm;140;;25000;yes;no;20;no;0.5;2;yes;FR-4;decorative product, 30 SMD LED per 1m, 5m per roll, can be cut every 3 LEDs at cutting marks, remote controller included;2;5000;10;0;0;
03037;5901477330377;LATE LED 5m 150 RGB IP65 BLISTER;100;03037.jpg;LED strip;230V 50Hz;36 W;white;;150 SMD LED 50x50, in set;no;tak, ściemniacz w komplecie;0;multicolour;1650 lm;140;;25000;yes;no;65;no;0.5;2;yes;FR-4;decorative product, 30 SMD LED per 1m, 5m per roll, can be cut every 3 LEDs at cutting marks, remote controller included;2;5000;10;0;0;
03038;5901477330384;LATE LED 5m 300 WW BLISTER;100;03038.jpg;LED strip;230V 50Hz;24 W;white;;300 SMD LED 28x35, in set;no;no;3000;warm white;2875 lm;140;>80;25000;no;no;20;no;0.5;2;yes;FR-4;decorative product, 60 SMD LED per 1m, 5m per roll, can be cut every 3 LEDs at cutting marks;2;5000;8;0;0;
03039;5901477330391;LATE LED 5m 300 CW BLISTER;100;03039.jpg;LED strip;230V 50Hz;24 W;white;;300 SMD LED 28x35, in set;no;no;6500;cold white;2925 lm;140;>80;25000;no;no;20;no;0.5;2;yes;FR-4;decorative product, 60 SMD LED per 1m, 5m per roll, can be cut every 3 LEDs at cutting marks;2;5000;8;0;0;
03040;5901477330407;LATE LED 5m 300 WW IP65 BLISTER;100;03040.jpg;LED strip;230V 50Hz;24 W;white;;300 SMD LED 28x35, in set;no;no;3000;warm white;2875 lm;140;>80;25000;no;no;65;no;0.5;2;yes;FR-4;decorative product, 60 SMD LED per 1m, 5m per roll, can be cut every 3 LEDs at cutting marks;2;5000;8;0;0;
03041;5901477330414;LATE LED 5m 300 CW IP65 BLISTER;100;03041.jpg;LED strip;230V 50Hz;24 W;white;;300 SMD LED 28x35, in set;no;no;6500;cold white;2925 lm;140;>80;25000;no;no;65;no;0.5;2;yes;FR-4;decorative product, 60 SMD LED per 1m, 5m per roll, can be cut every 3 LEDs at cutting marks;2;5000;8;0;0;
03042;5901477330421;MARIO GU10 1D;100;03042.jpg;Wall & ceiling lighting fitting;220-240V 50/60Hz;max 35 W;black;GU10;LED;yes;;0;;;0;;0;no;yes;20;no;0.5;1;yes;stainless steel;;120;80;156;0;0;
03043;5901477330438;MARIO GU10 2L;100;03043.jpg;Wall & ceiling lighting fitting;220-240V 50/60Hz;2 x max 35 W;black;GU10;LED;yes;;0;;;0;;0;no;yes;20;no;0.5;1;yes;stainless steel;;156;280;80;0;0;
03044;5901477330445;MARIO GU10 3L;100;03044.jpg;Wall & ceiling lighting fitting;220-240V 50/60Hz;3 x max 35 W;black;GU10;LED;yes;;0;;;0;;0;no;yes;20;no;0.5;1;yes;stainless steel;;156;430;80;0;0;
03045;5901477330452;MARIO GU10 4D;100;03045.jpg;Wall & ceiling lighting fitting;220-240V 50/60Hz;4 x max 35 W;black;GU10;LED;yes;;0;;;0;;0;no;yes;20;no;0.5;1;yes;stainless steel;;156;250;250;0;0;
03046;5901477330469;TOMI GU10 1D;100;03046.jpg;Wall & ceiling lighting fitting;220-240V 50/60Hz;max 35 W;chrome/white;GU10;LED;yes;;0;;;0;;0;no;yes;20;no;0.5;1;yes;stainless steel, glass;;80;120;156;0;0;
03047;5901477330476;TOMI GU10 2I;100;03047.jpg;Wall & ceiling lighting fitting;220-240V 50/60Hz;2 x max 35 W;chrome/white;GU10;LED;yes;;0;;;0;;0;no;yes;20;no;0.5;1;yes;stainless steel, glass;;75;300;183;0;0;
03048;5901477330483;TOMI GU10 3I;100;03048.jpg;Wall & ceiling lighting fitting;220-240V 50/60Hz;3 x max 35 W;chrome/white;GU10;LED;yes;;0;;;0;;0;no;yes;20;no;0.5;1;yes;stainless steel, glass;;75;500;183;0;0;
03049;5901477330490;TOMI GU10 4I;100;03049.jpg;Wall & ceiling lighting fitting;220-240V 50/60Hz;4 x max 35 W;chrome/white;GU10;LED;yes;;0;;;0;;0;no;yes;20;no;0.5;1;yes;stainless steel, glass;;75;645;183;0;0;
03056;5901477330568;AMELIA LED CHROME NW;100;03056.jpg;Decorative SMD LED fitting;230V 50Hz;8,5 W;chrome;;SMD LED, in set;no;no;4000;neutral white;640 lm;60;>80;30000;no;yes;44;no;0.5;1;yes;aluminium, glass;for operation in increased-humidity locations, e.g. bathrooms, with transformer;100;450;195;0;0;
03059;5901477330599;ERSTE LED E27 14W WW;100;03059.jpg;SMD LED lamp;230V 50Hz;14 W;white;E27;;;no;3000;warm white;1360 lm;160;>80;25000;;;0;;0;0;yes;polycarbonate PC, aluminium;;118;65;65;0;0;
03060;5901477330605;ERSTE LED E27 14W NW;100;03060.jpg;SMD LED lamp;230V 50Hz;14 W;white;E27;;;no;4500;neutral white;1370 lm;160;>80;25000;;;0;;0;0;yes;polycarbonate PC, aluminium;;118;65;65;0;0;
03061;5901477330612;ULKE LED E27 4W WW;100;03061.jpg;SMD LED lamp;230V 50Hz;4 W;white;E27;;;no;3000;warm white;400 lm;160;>80;25000;;;0;;0;0;yes;polycarbonate PC, aluminium;;78;45;45;0;0;
03062;5901477330629;ULKE LED E27 6W WW;100;03062.jpg;SMD LED lamp;230V 50Hz;6 W;white;E27;;;no;3000;warm white;560 lm;160;>80;25000;;;0;;0;0;yes;polycarbonate PC, aluminium;;78;45;45;0;0;
03064;5901477330643;LEON LED S 16W NW;1;03064.jpg;Ceiling light fitting with a motion sensor;230V 50Hz;16 W;white;;SMD LED, in set;no;no;4000;neutral white;1280 lm;160;>80;30000;no;no;44;no;0.5;1;yes;steel sheet, plastic;driver included, microwave motion sensor included, light connection <30 lux, 360° sensor operating angle, motion detection range max 6m, turning off after 20s without movement;100;325;325;0;0;
03068;5901477330681;BRENA LED 4W MAT CHROME NW;100;03068.jpg;Decorative SMD LED fitting;230V 50Hz;4 W;matt chrome;;21 SMD LED, in set;no;no;4000;neutral white;460 lm;60;>80;30000;yes;yes;20;no;0.5;1;yes;stainless steel;;175;405;52;0;0;
03069;5901477330698;BRENA LED 4W ANTIC BRASS NW;0;03069.jpg;Decorative SMD LED fitting;230V 50Hz;4 W;antique brass;;21 SMD LED, in set;no;no;4000;neutral white;460 lm;60;>80;30000;yes;yes;20;no;0.5;1;yes;stainless steel;;175;405;52;0;0;
03070;5901477330704;BRENA LED 6W MAT CHROME NW;100;03070.jpg;Decorative SMD LED fitting;230V 50Hz;6 W;matt chrome;;30 SMD LED, in set;no;no;4000;neutral white;750 lm;60;>80;30000;yes;yes;20;no;0.5;1;yes;stainless steel;;185;555;52;0;0;
03071;5901477330711;BRENA LED 6W ANTIC BRASS NW;0;03071.jpg;Decorative SMD LED fitting;230V 50Hz;6 W;antique brass;;30 SMD LED, in set;no;no;4000;neutral white;750 lm;60;>80;30000;yes;yes;20;no;0.5;1;yes;stainless steel;;185;555;52;0;0;
03072;5901477330728;RITON LED 4W MAT CHROME NW;100;03072.jpg;Decorative SMD LED fitting;230V 50Hz;4 W;matt chrome;;21 SMD LED, in set;no;no;4000;neutral white;460 lm;60;>80;30000;yes;yes;20;no;0.5;1;yes;stainless steel;;105;407;50;0;0;
03073;5901477330735;RITON LED 4W ANTIC BRASS NW;100;03073.jpg;Decorative SMD LED fitting;230V 50Hz;4 W;antique brass;;21 SMD LED, in set;no;no;4000;neutral white;460 lm;60;>80;30000;yes;yes;20;no;0.5;1;yes;stainless steel;;105;407;50;0;0;
03074;5901477330742;RITON LED 6W MAT CHROME NW;100;03074.jpg;Decorative SMD LED fitting;230V 50Hz;6 W;matt chrome;;30 SMD LED, in set;no;no;4000;neutral white;750 lm;60;>80;30000;yes;yes;20;no;0.5;1;yes;stainless steel;;108;555;55;0;0;
03075;5901477330759;RITON LED 6W ANTIC BRASS NW;100;03075.jpg;Decorative SMD LED fitting;230V 50Hz;6 W;antique brass;;30 SMD LED, in set;no;no;4000;neutral white;750 lm;60;>80;30000;yes;yes;20;no;0.5;1;yes;stainless steel;;108;555;55;0;0;
03083;5901477330834;GOTI LED C WHITE 5W NW;100;03083.jpg;Ceiling lighting point SMD LED fitting;230V 50Hz;5 W;white;;SMD LED, in set;no;no;4000;neutral white;350 lm;160;>80;30000;no;no;20;no;0.5;2;yes;aluminium alloy cast, acrylic glass;;30;80;80;65;0;
03084;5901477330841;GOTI LED D WHITE 5W NW;100;03084.jpg;Ceiling lighting point SMD LED fitting;230V 50Hz;5 W;white;;SMD LED, in set;no;no;4000;neutral white;350 lm;160;>80;30000;no;no;20;no;0.5;2;yes;aluminium alloy cast, acrylic glass;;30;80;80;65;0;
03085;5901477330858;ROBIN LED C 6W NW;100;03085.jpg;Ceiling SMD LED lighting fitting;230V 50Hz;6 W;white;;SMD LED, in set;no;no;4000;neutral white;540 lm;140;>80;30000;no;no;20;no;0.5;2;yes;aluminium, polycarbonate PC;;55;90;90;0;0;
03086;5901477330865;ROBIN LED C 12W NW;100;03086.jpg;Ceiling SMD LED lighting fitting;230V 50Hz;12 W;white;;SMD LED, in set;no;no;4000;neutral white;1080 lm;140;>80;30000;no;no;20;no;0.5;2;yes;aluminium, polycarbonate PC;;55;120;120;0;0;
03087;5901477330872;ROBIN LED C 18W NW;100;03087.jpg;Ceiling SMD LED lighting fitting;230V 50Hz;18 W;white;;SMD LED, in set;no;no;4000;neutral white;1620 lm;140;>80;30000;no;no;20;no;0.5;2;yes;aluminium, polycarbonate PC;;55;180;180;0;0;
03088;5901477330889;ROBIN LED C 24W NW;100;03088.jpg;Ceiling SMD LED lighting fitting;230V 50Hz;24 W;white;;SMD LED, in set;no;no;4000;neutral white;2160 lm;140;>80;30000;no;no;20;no;0.5;2;yes;aluminium, polycarbonate PC;;55;220;220;0;0;
03089;5901477330896;ROBIN LED D 6W NW;100;03089.jpg;Ceiling SMD LED lighting fitting;230V 50Hz;6 W;white;;SMD LED, in set;no;no;4000;neutral white;540 lm;140;>80;30000;no;no;20;no;0.5;2;yes;aluminium, polycarbonate PC;;55;90;90;0;0;
03090;5901477330902;ROBIN LED D 12W NW;100;03090.jpg;Ceiling SMD LED lighting fitting;230V 50Hz;12 W;white;;SMD LED, in set;no;no;4000;neutral white;1080 lm;140;>80;30000;no;no;20;no;0.5;2;yes;aluminium, polycarbonate PC;;55;120;120;0;0;
03091;5901477330919;ROBIN LED D 18W NW;100;03091.jpg;Ceiling SMD LED lighting fitting;230V 50Hz;18 W;white;;SMD LED, in set;no;no;4000;neutral white;1620 lm;140;>80;30000;no;no;20;no;0.5;2;yes;aluminium, polycarbonate PC;;55;180;180;0;0;
03092;5901477330926;ROBIN LED D 24W NW;100;03092.jpg;Ceiling SMD LED lighting fitting;230V 50Hz;24 W;white;;SMD LED, in set;no;no;4000;neutral white;2160 lm;140;>80;30000;no;no;20;no;0.5;2;yes;aluminium, polycarbonate PC;;55;220;220;0;0;
03093;5901477330933;FLATER LED 10W NW;100;03093.jpg;Linear lighting fitting SMD LED;230V 50Hz;10 W;white;;SMD LED, in set;no;no;4000;neutral white;810 lm;140;>80;30000;yes;no;42;no;0.5;2;yes;aluminium, polycarbonate PC;;25;300;75;0;0;
03094;5901477330940;FLATER LED 20W NW;100;03094.jpg;Linear lighting fitting SMD LED;230V 50Hz;20 W;white;;SMD LED, in set;no;no;4000;neutral white;1710 lm;140;>80;30000;yes;no;42;no;0.5;2;yes;aluminium, polycarbonate PC;;25;600;75;0;0;
03095;5901477330957;STAN L CHROME;100;03095.jpg;Ceiling lighting point fitting;220-240V 50/60Hz;2 x max 50 W;transparent/chrome;GU10;LED;yes;;0;;;0;;0;no;no;20;no;0.5;2;yes;aluminium alloy cast, glass;;28;180;90;155;0;
03096;5901477330964;ALUM C SILVER;100;03096.jpg;Ceiling lighting point fitting;220-240V 50/60Hz;max 50 W;silver;GU10;LED;yes;;0;;;0;;0;no;yes;20;no;0.5;2;yes;aluminium;;28;92;92;75;0;
03097;5901477330971;ALUM D SILVER;100;03097.jpg;Ceiling lighting point fitting;220-240V 50/60Hz;max 50 W;silver;GU10;LED;yes;;0;;;0;;0;no;yes;20;no;0.5;2;yes;aluminium;;28;93;93;75;0;
03099;5901477330995;ALFI LED C SILVER NW;100;03099.jpg;Decorative COB LED fitting;230V 50Hz;3,5 W;silver;;COB LED, in set;no;no;4000;neutral white;255 lm;90;>80;30000;no;no;20;no;0.5;2;yes;steel sheet, glass;;30;75;75;0;0;
03100;5901477331008;BETI LED C 5W NW;100;03100.jpg;Decorative SMD LED fitting;230V 50Hz;5 W;white;;SMD LED, in set;no;no;4000;neutral white;400 lm;140;>80;30000;no;no;20;no;0.5;1;yes;aluminium alloy cast;;100;150;100;0;0;
03101;5901477331015;BETI LED C 10W NW;100;03101.jpg;Decorative SMD LED fitting;230V 50Hz;10 W;white;;SMD LED, in set;no;no;4000;neutral white;820 lm;140;>80;30000;no;no;20;no;0.5;1;yes;aluminium alloy cast;;100;250;100;0;0;
03102;5901477331022;BETI LED L 5W NW;100;03102.jpg;Decorative SMD LED fitting;230V 50Hz;5 W;white;;SMD LED, in set;no;no;4000;neutral white;400 lm;140;>80;30000;no;no;20;no;0.5;1;yes;aluminium alloy cast;;60;150;100;0;0;
03103;5901477331039;BETI LED L 10W NW;100;03103.jpg;Decorative SMD LED fitting;230V 50Hz;10 W;white;;SMD LED, in set;no;no;4000;neutral white;820 lm;140;>80;30000;no;no;20;no;0.5;1;yes;aluminium alloy cast;;60;250;100;0;0;
03104;5901477331046;GUSTI LED 3W NW;100;03104.jpg;Ceiling COB LED lighting fitting;230V 50Hz;3 W;silver;;COB LED, in set;no;no;4000;neutral white;270 lm;120;>80;30000;no;no;20;no;0.5;2;yes;aluminium alloy cast;;60;55;55;0;0;
03105;5901477331053;GUSTI LED 7W NW;1;03105.jpg;Ceiling COB LED lighting fitting;230V 50Hz;7 W;silver;;COB LED, in set;no;no;4000;neutral white;630 lm;120;>80;30000;no;no;20;no;0.5;2;yes;aluminium alloy cast;;60;80;80;0;0;
03106;5901477331060;GUSTI LED 10W NW;100;03106.jpg;Ceiling COB LED lighting fitting;230V 50Hz;10 W;silver;;COB LED, in set;no;no;4000;neutral white;900 lm;120;>80;30000;no;no;20;no;0.5;2;yes;aluminium alloy cast;;65;100;100;0;0;
03107;5901477331077;ROLEN LED 3W WHITE NW;100;03107.jpg;Ceiling SMD LED lighting fitting;230V 50Hz;3 W;white;;SMD LED, in set;no;no;4000;neutral white;240 lm;140;>80;30000;no;no;20;no;0.5;2;yes;aluminium, plastic;;65;75;75;0;0;
03108;5901477331084;ROLEN LED 7W WHITE NW;100;03108.jpg;Ceiling SMD LED lighting fitting;230V 50Hz;7 W;white;;SMD LED, in set;no;no;4000;neutral white;580 lm;140;>80;30000;no;no;20;no;0.5;2;yes;aluminium, plastic;;70;100;100;0;0;
03109;5901477331091;ROLEN LED 10W WHITE NW;100;03109.jpg;Ceiling SMD LED lighting fitting;230V 50Hz;10 W;white;;SMD LED, in set;no;no;4000;neutral white;840 lm;140;>80;30000;no;no;20;no;0.5;2;yes;aluminium, plastic;;90;120;120;0;0;
03110;5901477331107;ROLEN LED 15W WHITE NW;100;03110.jpg;Ceiling SMD LED lighting fitting;230V 50Hz;15 W;white;;SMD LED, in set;no;no;4000;neutral white;1330 lm;140;>80;30000;no;no;20;no;0.5;2;yes;aluminium, plastic;;70;150;150;0;0;
03117;5901477331176;RAFI LED C WHITE NW;100;03117.jpg;Decorative POWER LED fitting;230V 50Hz;3 W;white;;POWER LED, in set;no;no;4000;neutral white;80 lm;45;>80;25000;no;no;44;no;0.5;2;yes;aluminium alloy cast;;60;60;60;44;0;
03118;5901477331183;RAFI LED C MAT CHROME NW;100;03118.jpg;Decorative POWER LED fitting;230V 50Hz;3 W;matt chrome;;POWER LED, in set;no;no;4000;neutral white;80 lm;45;>80;25000;no;no;44;no;0.5;2;yes;aluminium alloy cast;;60;60;60;44;0;
03119;5901477331190;RAFI LED D WHITE NW;100;03119.jpg;Decorative POWER LED fitting;230V 50Hz;3 W;white;;POWER LED, in set;no;no;4000;neutral white;80 lm;45;>80;25000;no;no;44;no;0.5;2;yes;aluminium alloy cast;;60;60;60;44;0;
03120;5901477331206;RAFI LED D MAT CHROME NW;100;03120.jpg;Decorative POWER LED fitting;230V 50Hz;3 W;matt chrome;;POWER LED, in set;no;no;4000;neutral white;80 lm;45;>80;25000;no;no;44;no;0.5;2;yes;aluminium alloy cast;;60;60;60;44;0;
03121;5901477331213;KAMI LED C WHITE NW;100;03121.jpg;Decorative SMD LED fitting;230V 50Hz;3,5 W;white;;SMD LED, in set;no;no;4000;neutral white;210 lm;90;>80;30000;no;no;44;no;0.5;2;yes;aluminium alloy cast, glass;;75;75;60;60;0;
03122;5901477331220;KAMI LED C WHITE CW;100;03122.jpg;Decorative SMD LED fitting;230V 50Hz;3,5 W;white;;SMD LED, in set;no;no;5700;cold white;210 lm;90;>80;30000;no;no;44;no;0.5;2;yes;aluminium alloy cast, glass;;75;75;60;60;0;
03123;5901477331237;KAMI LED D WHITE NW;100;03123.jpg;Decorative SMD LED fitting;230V 50Hz;3,5 W;white;;SMD LED, in set;no;no;4000;neutral white;210 lm;90;>80;30000;no;no;44;no;0.5;2;yes;aluminium alloy cast, glass;;75;75;60;60;0;
03124;5901477331244;KAMI LED D WHITE CW;100;03124.jpg;Decorative SMD LED fitting;230V 50Hz;3,5 W;white;;SMD LED, in set;no;no;5700;cold white;210 lm;90;>80;30000;no;no;44;no;0.5;2;yes;aluminium alloy cast, glass;;75;75;60;60;0;
03127;5901477331275;IGOR LED D 6W WHITE NW;100;03127.jpg;Ceiling COB LED lighting fitting;230V 50Hz;6 W;white;;COB LED, in set;no;no;4000;neutral white;500 lm;45;>80;30000;no;yes;20;no;0.5;2;yes;aluminium alloy cast;;43;98;98;0;0;
